datetime,epic,offer,bid
12/6/2021 0:00,CC.D.CL.UMA.IP,6744.6,6741.8
12/6/2021 4:00,CC.D.CL.UMA.IP,6757.4,6754.6
12/6/2021 8:00,CC.D.CL.UMA.IP,6776.8,6774
12/6/2021 12:00,CC.D.CL.UMA.IP,6843.8,6841
12/6/2021 16:00,CC.D.CL.UMA.IP,6811.6,6808.8
12/6/2021 20:00,CC.D.CL.UMA.IP,6966.9,6964.1
12/7/2021 0:00,CC.D.CL.UMA.IP,6963.8,6961
12/7/2021 4:00,CC.D.CL.UMA.IP,6998.5,6995.7
12/7/2021 8:00,CC.D.CL.UMA.IP,7052.2,7049.4
12/7/2021 12:00,CC.D.CL.UMA.IP,7167.1,7164.3
12/7/2021 16:00,CC.D.CL.UMA.IP,7248.9,7246.1
12/7/2021 20:00,CC.D.CL.UMA.IP,7176.9,7174.1
12/8/2021 0:00,CC.D.CL.UMA.IP,7171.1,7168.3
12/8/2021 4:00,CC.D.CL.UMA.IP,7162.3,7159.5
12/8/2021 8:00,CC.D.CL.UMA.IP,7136.5,7133.7
12/8/2021 12:00,CC.D.CL.UMA.IP,7256.3,7253.5
12/8/2021 16:00,CC.D.CL.UMA.IP,7197.9,7195.1
12/8/2021 20:00,CC.D.CL.UMA.IP,7231.2,7228.4
12/9/2021 0:00,CC.D.CL.UMA.IP,7246.8,7244
12/9/2021 4:00,CC.D.CL.UMA.IP,7280.7,7277.9
12/9/2021 8:00,CC.D.CL.UMA.IP,7251.3,7248.5
12/9/2021 12:00,CC.D.CL.UMA.IP,7179.7,7176.9
12/9/2021 16:00,CC.D.CL.UMA.IP,7161.2,7158.4
12/9/2021 20:00,CC.D.CL.UMA.IP,7054.2,7051.4
12/10/2021 0:00,CC.D.CL.UMA.IP,7044.4,7041.6
12/10/2021 4:00,CC.D.CL.UMA.IP,7089.3,7086.5
12/10/2021 8:00,CC.D.CL.UMA.IP,7063.5,7060.7
12/10/2021 12:00,CC.D.CL.UMA.IP,7153.5,7150.7
12/10/2021 16:00,CC.D.CL.UMA.IP,7135,7132.2
12/10/2021 20:00,CC.D.CL.UMA.IP,7163.3,7160.5
12/11/2021 0:00,CC.D.CL.UMA.IP,7185.7,7181.7
12/6/2021 0:00,CC.D.LCO.UMA.IP,7112.6,7102.6
12/6/2021 4:00,CC.D.LCO.UMA.IP,7118.1,7115.3
12/6/2021 8:00,CC.D.LCO.UMA.IP,7139.8,7137
12/6/2021 12:00,CC.D.LCO.UMA.IP,7205.5,7202.7
12/6/2021 16:00,CC.D.LCO.UMA.IP,7177.1,7174.3
12/6/2021 20:00,CC.D.LCO.UMA.IP,7333.5,7330.7
12/7/2021 0:00,CC.D.LCO.UMA.IP,7351.8,7341.8
12/7/2021 4:00,CC.D.LCO.UMA.IP,7345.4,7342.6
12/7/2021 8:00,CC.D.LCO.UMA.IP,7411.7,7408.9
12/7/2021 12:00,CC.D.LCO.UMA.IP,7501.8,7499
12/7/2021 16:00,CC.D.LCO.UMA.IP,7579.9,7577.1
12/7/2021 20:00,CC.D.LCO.UMA.IP,7529.8,7527
12/8/2021 0:00,CC.D.LCO.UMA.IP,7523.1,7519.1
12/8/2021 4:00,CC.D.LCO.UMA.IP,7503.6,7500.8
12/8/2021 8:00,CC.D.LCO.UMA.IP,7494.5,7491.7
12/8/2021 12:00,CC.D.LCO.UMA.IP,7621.4,7618.6
12/8/2021 16:00,CC.D.LCO.UMA.IP,7545.4,7542.6
12/8/2021 20:00,CC.D.LCO.UMA.IP,7582.9,7580.1
12/9/2021 0:00,CC.D.LCO.UMA.IP,7586.7,7582.7
12/9/2021 4:00,CC.D.LCO.UMA.IP,7621.3,7618.5
12/9/2021 8:00,CC.D.LCO.UMA.IP,7594.1,7591.3
12/9/2021 12:00,CC.D.LCO.UMA.IP,7527.4,7524.6
12/9/2021 16:00,CC.D.LCO.UMA.IP,7511.5,7508.7
12/9/2021 20:00,CC.D.LCO.UMA.IP,7407.4,7404.6
12/10/2021 0:00,CC.D.LCO.UMA.IP,7402.2,7392.2
12/10/2021 4:00,CC.D.LCO.UMA.IP,7435.3,7432.5
12/10/2021 8:00,CC.D.LCO.UMA.IP,7401.2,7398.4
12/10/2021 12:00,CC.D.LCO.UMA.IP,7501,7498.2
12/10/2021 16:00,CC.D.LCO.UMA.IP,7482.5,7479.7
12/10/2021 20:00,CC.D.LCO.UMA.IP,7514.3,7511.5
12/11/2021 0:00,CC.D.LCO.UMA.IP,7527.7,7524.9
12/13/2021 0:00,CC.D.CL.UMA.IP,7236.3,7233.5
12/13/2021 4:00,CC.D.CL.UMA.IP,7247.1,7244.3
12/13/2021 8:00,CC.D.CL.UMA.IP,7234.1,7231.3
12/13/2021 12:00,CC.D.CL.UMA.IP,7127.2,7124.4
12/13/2021 16:00,CC.D.CL.UMA.IP,7142.1,7139.3
12/13/2021 20:00,CC.D.CL.UMA.IP,7119.8,7117
12/14/2021 0:00,CC.D.CL.UMA.IP,7106.2,7103.4
12/14/2021 4:00,CC.D.CL.UMA.IP,7071.1,7068.3
12/14/2021 8:00,CC.D.CL.UMA.IP,7128,7125.2
12/14/2021 12:00,CC.D.CL.UMA.IP,7113.3,7110.5
12/14/2021 16:00,CC.D.CL.UMA.IP,7015.7,7012.9
12/14/2021 20:00,CC.D.CL.UMA.IP,7023.3,7020.5
12/15/2021 0:00,CC.D.CL.UMA.IP,7011.4,7008.6
12/15/2021 4:00,CC.D.CL.UMA.IP,6970.5,6967.7
12/15/2021 8:00,CC.D.CL.UMA.IP,6979.5,6976.7
12/15/2021 12:00,CC.D.CL.UMA.IP,6958.5,6955.7
12/15/2021 16:00,CC.D.CL.UMA.IP,6983.4,6980.6
12/15/2021 20:00,CC.D.CL.UMA.IP,7083.7,7080.9
12/16/2021 0:00,CC.D.CL.UMA.IP,7143.6,7140.8
12/16/2021 4:00,CC.D.CL.UMA.IP,7147.5,7144.7
12/16/2021 8:00,CC.D.CL.UMA.IP,7144.3,7141.5
12/16/2021 12:00,CC.D.CL.UMA.IP,7177.2,7174.4
12/16/2021 16:00,CC.D.CL.UMA.IP,7202.2,7199.4
12/16/2021 20:00,CC.D.CL.UMA.IP,7179,7176.2
12/17/2021 0:00,CC.D.CL.UMA.IP,7168.9,7166.1
12/17/2021 4:00,CC.D.CL.UMA.IP,7149.7,7146.9
12/17/2021 8:00,CC.D.CL.UMA.IP,7158.5,7155.7
12/17/2021 12:00,CC.D.CL.UMA.IP,7092.4,7089.6
12/17/2021 16:00,CC.D.CL.UMA.IP,7083.1,7080.3
12/17/2021 20:00,CC.D.CL.UMA.IP,7070,7067.2
12/18/2021 0:00,CC.D.CL.UMA.IP,7015.5,7005.5
12/13/2021 0:00,CC.D.LCO.UMA.IP,7578.2,7574.2
12/13/2021 4:00,CC.D.LCO.UMA.IP,7593.5,7590.7
12/13/2021 8:00,CC.D.LCO.UMA.IP,7575.1,7572.3
12/13/2021 12:00,CC.D.LCO.UMA.IP,7475,7472.2
12/13/2021 16:00,CC.D.LCO.UMA.IP,7490.1,7487.3
12/13/2021 20:00,CC.D.LCO.UMA.IP,7447,7444.2
12/14/2021 0:00,CC.D.LCO.UMA.IP,7425.8,7415.8
12/14/2021 4:00,CC.D.LCO.UMA.IP,7398.8,7396
12/14/2021 8:00,CC.D.LCO.UMA.IP,7457.5,7454.7
12/14/2021 12:00,CC.D.LCO.UMA.IP,7443,7440.2
12/14/2021 16:00,CC.D.LCO.UMA.IP,7334.1,7331.3
12/14/2021 20:00,CC.D.LCO.UMA.IP,7340.5,7337.7
12/15/2021 0:00,CC.D.LCO.UMA.IP,7324.6,7314.6
12/15/2021 4:00,CC.D.LCO.UMA.IP,7290.6,7287.8
12/15/2021 8:00,CC.D.LCO.UMA.IP,7304.6,7301.8
12/15/2021 12:00,CC.D.LCO.UMA.IP,7280.9,7278.1
12/15/2021 16:00,CC.D.LCO.UMA.IP,7309,7306.2
12/15/2021 20:00,CC.D.LCO.UMA.IP,7392.4,7389.6
12/16/2021 0:00,CC.D.LCO.UMA.IP,7438.1,7428.1
12/16/2021 4:00,CC.D.LCO.UMA.IP,7453.5,7450.7
12/16/2021 8:00,CC.D.LCO.UMA.IP,7451.2,7448.4
12/16/2021 12:00,CC.D.LCO.UMA.IP,7483.4,7480.6
12/16/2021 16:00,CC.D.LCO.UMA.IP,7486.7,7483.9
12/16/2021 20:00,CC.D.LCO.UMA.IP,7463.9,7461.1
12/17/2021 0:00,CC.D.LCO.UMA.IP,7456.2,7452.2
12/17/2021 4:00,CC.D.LCO.UMA.IP,7431.9,7429.1
12/17/2021 8:00,CC.D.LCO.UMA.IP,7447.9,7445.1
12/17/2021 12:00,CC.D.LCO.UMA.IP,7374.7,7371.9
12/17/2021 16:00,CC.D.LCO.UMA.IP,7369,7366.2
12/17/2021 20:00,CC.D.LCO.UMA.IP,7349.5,7346.7
12/18/2021 0:00,CC.D.LCO.UMA.IP,7298.2,7294.2
12/20/2021 0:00,CC.D.CL.UMA.IP,6924.3,6921.5
12/20/2021 4:00,CC.D.CL.UMA.IP,6876.8,6874
12/20/2021 8:00,CC.D.CL.UMA.IP,6835.9,6833.1
12/20/2021 12:00,CC.D.CL.UMA.IP,6863.8,6861
12/20/2021 16:00,CC.D.CL.UMA.IP,6650.6,6647.8
12/20/2021 20:00,CC.D.CL.UMA.IP,6895.1,6892.3
12/21/2021 0:00,CC.D.CL.UMA.IP,6918.9,6916.1
12/21/2021 4:00,CC.D.CL.UMA.IP,6929.6,6926.8
12/21/2021 8:00,CC.D.CL.UMA.IP,6906.5,6903.7
12/21/2021 12:00,CC.D.CL.UMA.IP,6973.5,6970.7
12/21/2021 16:00,CC.D.CL.UMA.IP,7027.5,7024.7
12/21/2021 20:00,CC.D.CL.UMA.IP,7135.1,7132.3
12/22/2021 0:00,CC.D.CL.UMA.IP,7121.8,7119
12/22/2021 4:00,CC.D.CL.UMA.IP,7136.4,7133.6
12/22/2021 8:00,CC.D.CL.UMA.IP,7117.7,7114.9
12/22/2021 12:00,CC.D.CL.UMA.IP,7139.7,7136.9
12/22/2021 16:00,CC.D.CL.UMA.IP,7152.6,7149.8
12/22/2021 20:00,CC.D.CL.UMA.IP,7281.4,7278.6
12/23/2021 0:00,CC.D.CL.UMA.IP,7302,7299.2
12/23/2021 4:00,CC.D.CL.UMA.IP,7282.6,7279.8
12/23/2021 8:00,CC.D.CL.UMA.IP,7270.6,7267.8
12/23/2021 12:00,CC.D.CL.UMA.IP,7287.6,7284.8
12/23/2021 16:00,CC.D.CL.UMA.IP,7300.7,7297.9
12/23/2021 20:00,CC.D.CL.UMA.IP,7374.5,7371.7
12/24/2021 0:00,CC.D.CL.UMA.IP,7371.4,7361.4
12/20/2021 0:00,CC.D.LCO.UMA.IP,7212,7209.2
12/20/2021 4:00,CC.D.LCO.UMA.IP,7168.6,7165.8
12/20/2021 8:00,CC.D.LCO.UMA.IP,7141.3,7138.5
12/20/2021 12:00,CC.D.LCO.UMA.IP,7170.5,7167.7
12/20/2021 16:00,CC.D.LCO.UMA.IP,6971.2,6968.4
12/20/2021 20:00,CC.D.LCO.UMA.IP,7191.4,7188.6
12/21/2021 0:00,CC.D.LCO.UMA.IP,7218.1,7208.1
12/21/2021 4:00,CC.D.LCO.UMA.IP,7213.2,7210.4
12/21/2021 8:00,CC.D.LCO.UMA.IP,7185.6,7182.8
12/21/2021 12:00,CC.D.LCO.UMA.IP,7257,7254.2
12/21/2021 16:00,CC.D.LCO.UMA.IP,7308.5,7305.7
12/21/2021 20:00,CC.D.LCO.UMA.IP,7414.8,7412
12/22/2021 0:00,CC.D.LCO.UMA.IP,7401.2,7391.2
12/22/2021 4:00,CC.D.LCO.UMA.IP,7412.5,7409.7
12/22/2021 8:00,CC.D.LCO.UMA.IP,7396.2,7393.4
12/22/2021 12:00,CC.D.LCO.UMA.IP,7406.5,7403.7
12/22/2021 16:00,CC.D.LCO.UMA.IP,7430.5,7427.7
12/22/2021 20:00,CC.D.LCO.UMA.IP,7541.1,7538.3
12/23/2021 0:00,CC.D.LCO.UMA.IP,7564.7,7554.7
12/23/2021 4:00,CC.D.LCO.UMA.IP,7538.2,7535.4
12/23/2021 8:00,CC.D.LCO.UMA.IP,7527.7,7524.9
12/23/2021 12:00,CC.D.LCO.UMA.IP,7550.8,7548
12/23/2021 16:00,CC.D.LCO.UMA.IP,7567.8,7565
12/23/2021 20:00,CC.D.LCO.UMA.IP,7668,7665.2
12/24/2021 0:00,CC.D.LCO.UMA.IP,7660.4,7650.4
12/24/2021 4:00,CC.D.LCO.UMA.IP,7608.2,7598.2
12/24/2021 8:00,CC.D.LCO.UMA.IP,7621.3,7618.5
12/24/2021 12:00,CC.D.LCO.UMA.IP,7614.2,7611.4
12/24/2021 16:00,CC.D.LCO.UMA.IP,7568.3,7558.3
12/27/2021 0:00,CC.D.CL.UMA.IP,7322,7319.2
12/27/2021 4:00,CC.D.CL.UMA.IP,7320.7,7317.9
12/27/2021 8:00,CC.D.CL.UMA.IP,7285.8,7283
12/27/2021 12:00,CC.D.CL.UMA.IP,7269.3,7266.5
12/27/2021 16:00,CC.D.CL.UMA.IP,7571.2,7568.4
