datetime,epic,offer,bid
7/1/2021 0:00,CC.D.LCO.UMA.IP,7465,7455
7/1/2021 4:00,CC.D.LCO.UMA.IP,7477.8,7475
7/1/2021 8:00,CC.D.LCO.UMA.IP,7515.1,7512.3
7/1/2021 12:00,CC.D.LCO.UMA.IP,7620.4,7617.6
7/1/2021 16:00,CC.D.LCO.UMA.IP,7556.8,7554
7/1/2021 20:00,CC.D.LCO.UMA.IP,7545.5,7542.7
7/2/2021 0:00,CC.D.LCO.UMA.IP,7553.8,7549.8
7/2/2021 4:00,CC.D.LCO.UMA.IP,7577.9,7575.1
7/2/2021 8:00,CC.D.LCO.UMA.IP,7570.4,7567.6
7/2/2021 12:00,CC.D.LCO.UMA.IP,7535.2,7532.4
7/2/2021 16:00,CC.D.LCO.UMA.IP,7589,7586.2
7/2/2021 20:00,CC.D.LCO.UMA.IP,7615.5,7612.7
7/3/2021 0:00,CC.D.LCO.UMA.IP,7606.3,7596.3
7/5/2021 0:00,CC.D.CL.UMA.IP,7474.8,7472
7/5/2021 4:00,CC.D.CL.UMA.IP,7468.1,7465.3
7/5/2021 8:00,CC.D.CL.UMA.IP,7482.1,7479.3
7/5/2021 12:00,CC.D.CL.UMA.IP,7506.6,7503.8
7/5/2021 16:00,CC.D.CL.UMA.IP,7553.3,7550.5
7/5/2021 20:00,CC.D.CL.UMA.IP,7590.3,7587.5
7/6/2021 0:00,CC.D.CL.UMA.IP,7578.4,7575.6
7/6/2021 4:00,CC.D.CL.UMA.IP,7623.2,7620.4
7/6/2021 8:00,CC.D.CL.UMA.IP,7645.2,7642.4
7/6/2021 12:00,CC.D.CL.UMA.IP,7543.9,7541.1
7/6/2021 16:00,CC.D.CL.UMA.IP,7307.8,7305
7/6/2021 20:00,CC.D.CL.UMA.IP,7332.1,7329.3
7/7/2021 0:00,CC.D.CL.UMA.IP,7314.9,7312.1
7/7/2021 4:00,CC.D.CL.UMA.IP,7297.2,7294.4
7/7/2021 8:00,CC.D.CL.UMA.IP,7354.4,7351.6
7/7/2021 12:00,CC.D.CL.UMA.IP,7410.4,7407.6
7/7/2021 16:00,CC.D.CL.UMA.IP,7115.7,7112.9
7/7/2021 20:00,CC.D.CL.UMA.IP,7144.3,7141.5
7/8/2021 0:00,CC.D.CL.UMA.IP,7170.2,7167.4
7/8/2021 4:00,CC.D.CL.UMA.IP,7168.4,7165.6
7/8/2021 8:00,CC.D.CL.UMA.IP,7097.2,7094.4
7/8/2021 12:00,CC.D.CL.UMA.IP,7114,7111.2
7/8/2021 16:00,CC.D.CL.UMA.IP,7205.4,7202.6
7/8/2021 20:00,CC.D.CL.UMA.IP,7266.3,7263.5
7/9/2021 0:00,CC.D.CL.UMA.IP,7275.2,7272.4
7/9/2021 4:00,CC.D.CL.UMA.IP,7250.2,7247.4
7/9/2021 8:00,CC.D.CL.UMA.IP,7288,7285.2
7/9/2021 12:00,CC.D.CL.UMA.IP,7324.3,7321.5
7/9/2021 16:00,CC.D.CL.UMA.IP,7402.5,7399.7
7/9/2021 20:00,CC.D.CL.UMA.IP,7410.3,7407.5
7/10/2021 0:00,CC.D.CL.UMA.IP,7413,7410.2
7/5/2021 0:00,CC.D.LCO.UMA.IP,7597.3,7594.5
7/5/2021 4:00,CC.D.LCO.UMA.IP,7592.1,7589.3
7/5/2021 8:00,CC.D.LCO.UMA.IP,7600.8,7598
7/5/2021 12:00,CC.D.LCO.UMA.IP,7625.3,7622.5
7/5/2021 16:00,CC.D.LCO.UMA.IP,7669.6,7666.8
7/5/2021 20:00,CC.D.LCO.UMA.IP,7689.9,7687.1
7/6/2021 0:00,CC.D.LCO.UMA.IP,7689.3,7686.5
